stop_id,	stop_code,	stop_name,	stop_desc,	stop_lat,	stop_lon,	zone_id,	stop_url

Stop ID is used with the Stop Time. At a certain departure time, look for what departure times 

0168C,,"Highway  1 & Western Dr",,  36.960907,-122.058067,,
0901C,,"Bird & San Carlos",,  37.325184,-121.900520,,
0902C,,"Bird & San Carlos",,  37.324215,-121.900337,,
0904C,,"Diridon Station & (Caltrain Depot)",,  37.330338,-121.902634,,
0906C,,"Santa Clara & Delmas",,  37.331902,-121.899567,,
0908C,,"Santa Clara & Almaden Blvd",,  37.333908,-121.895180,,
0909C,,"Santa Clara & Almaden Ave",,  37.334606,-121.893318,,
0910C,,"Santa Clara & First",,  37.336311,-121.889877,,
0911C,,"San Fernando & 5th",,  37.336281,-121.885223,,
0912C,,"Santa Clara & Market St",,  37.335377,-121.892365,,
0913C,,"Santa Clara & Delmas (SB)",,  37.332180,-121.899590,,
0914C,,"San Fernando & 7th",,  37.337299,-121.883209,,
0915C,,"Bird & Park Ave",,  37.325169,-121.900940,,
0917C,,"Second & Santa Clara",,  37.335785,-121.888939,,
0918C,,"Big Basin Wy & China Grade",,  37.165234,-122.163177,,
0919C,,"San Fernando & 5th",,  37.336170,-121.884926,,
0920C,,"Santa Clara & Almaden Blvd",,  37.333790,-121.895737,,
0921C,,"Santa Clara & Almaden Ave",,  37.334553,-121.894104,,
0922C,,"First & Santa Clara",,  37.335304,-121.889854,,
0923C,,"Autumn & Park",,  37.327213,-121.900436,,
1001R,,"Airport & Airport Rd",,  36.934383,-121.782814,,
1002R,,"Airport Blvd & Airport Road",,  36.934322,-121.783485,,
1003R,,"Airport & Freedom",,  36.938858,-121.777794,,
1005R,,"Airport & Holm",,  36.931953,-121.787842,,
1006R,,"Airport & Freedom Centre",,  36.939846,-121.776550,,
1015R,,"Amesti & Amesti School",,  36.946316,-121.767708,,
1020R,,"Amesti & Mann",,  36.956173,-121.781731,,
1026R,,"Amesti & Bollinger",,  36.967934,-121.793793,,
1034R,,"Bowker & Buena Vista",,  36.939789,-121.791351,,
1035R,,"Bowker & Calabasas",,  36.941872,-121.790672,,
1040R,,"Bronte & Ester",,  36.918427,-121.743027,,
1044R,,"Browns Valley & Corralitos",,  36.988743,-121.806686,,
1045R,,"Clifford & #240(Clifford Manor)",,  36.924629,-121.773865,,
1046R,,"Clifford & Lassen",,  36.924191,-121.773895,,
1047R,,"Clifford & Melrose",,  36.926682,-121.772972,,
1049R,,"Clifford & Crescent",,  36.927647,-121.771500,,
1051R,,"Clifford & Freedom",,  36.929779,-121.768669,,
1052R,,"College & Parker",,  36.933037,-121.734009,,
1053R,,"College & Cutter",,  36.934174,-121.738052,,
1054R,,"College & E Lake (Rt 152)",,  36.935867,-121.742928,,
1056R,,"Corralitos & Bradley Elementary",,  36.975407,-121.806442,,
1057R,,"Corralitos & Varni",,  36.968040,-121.807327,,
1059R,,"E Beach & Marchant",,  36.912575,-121.753555,,
1060R,,"Beach & Blackburn",,  36.915508,-121.749451,,
1061R,,"Beach & Beck",,  36.916798,-121.747749,,
1062R,,"Beach & Hushbeck",,  36.918560,-121.745316,,
1064R,,"E Lake & Sudden",,  36.913342,-121.756165,,
1069R,,"E Lake & Martinelli",,  36.924847,-121.746262,,
1070R,,"East Lake & Martinelli",,  36.925247,-121.745865,,
1077R,,"Freedom & Brennan",,  36.916782,-121.760345,,
1078R,,"Freedom & Stanford",,  36.920795,-121.760757,,
1080R,,"Freedom & Clifford",,  36.929951,-121.767693,,
1081R,,"Freedom & Sydney",,  36.931419,-121.769493,,
1082R,,"Freedom & Blanca Lane",,  36.931553,-121.769249,,
1083R,,"Freedom & Davis Rd.",,  36.933136,-121.771362,,
1084R,,"Freedom & Green Valley",,  36.935398,-121.773621,,
1086R,,"Freedom & Airport",,  36.937725,-121.776543,,
1087R,,"Freedom & Emme",,  36.939388,-121.780052,,
1088R,,"Freedom & Coffey Ln",,  36.939522,-121.779884,,
1089R,,"Freedom & Bowker",,  36.944496,-121.787468,,
1090R,,"Freedom & Bowker",,  36.944565,-121.787308,,
1091R,,"Green Valley & Melwood",,  36.919697,-121.783035,,
1092R,,"Green Valley & Melwood",,  36.920185,-121.783089,,
1093R,,"Green Valley & Oakridge",,  36.923981,-121.780571,,
1094R,,"Green Valley & Hope Dr (Kingdom Hall)",,  36.928143,-121.778175,,
1095R,,"Green Valley & Pennsylvania",,  36.930405,-121.776855,,
1097R,,"Green Valley & Freedom",,  36.935593,-121.772751,,
1098R,,"Green Valley & Holohan (The Towers)",,  36.939835,-121.770195,,
1099R,,"Green Valley & Holohan (The Towers)",,  36.939571,-121.770050,,
1100R,,"Green Valley & Carnation (Medical Plaza)",,  36.937897,-121.770973,,
1101R,,"Green Valley & Amesti",,  36.946037,-121.766762,,
1102R,,"Green Valley & Amesti (#407)",,  36.945976,-121.766525,,
1103R,,"Green Valley & Behler (Pinto Lake Pk)",,  36.948223,-121.765282,,
1105R,,"Green Valley & Minto",,  36.950825,-121.764969,,
1106R,,"Green Valley & Minto",,  36.951668,-121.764816,,
1109R,,"Green Valley & Trembley",,  36.958069,-121.764832,,
1110R,,"Green Valley & Klassen (Church)",,  36.961384,-121.765038,,
1111R,,"Green Valley & Klassen",,  36.961143,-121.764877,,
1112R,,"Green Valley & Dalton (Park)",,  36.963707,-121.764847,,
1113R,,"Green Valley & Pinto Lake County Pk",,  36.963921,-121.765060,,
1116R,,"Hangar Way & Airport Blvd",,  36.930271,-121.791168,,
1118R,,"Herman & Rolling Hills Junior High School",,  36.924446,-121.784691,,
1127R,,"Lakeview Dr & Parkwood (#305)",,  36.931274,-121.732437,,
1129R,,"Main & Central",,  36.908470,-121.754761,,
1130R,,"Kralj & Lawrence",,  36.922462,-121.783279,,
1136R,,"Main & Rodriguez",,  36.915100,-121.763763,,
1137R,,"Main & Arthur (Auto Center)",,  36.915791,-121.767921,,
1139R,,"Main & Pennsylvania",,  36.916340,-121.771217,,
1141R,,"Main & Clifford",,  36.917484,-121.776237,,
1142R,,"Main & Ohlone Parkway",,  36.917240,-121.776535,,
1143R,,"Main & Green Valley",,  36.918545,-121.782410,,
1144R,,"Main & Green Valley",,  36.918312,-121.782959,,
1151R,,"Manfre & Larkin Valley",,  36.927223,-121.800430,,
1152R,,"Manfre & Lucerne",,  36.933067,-121.798981,,
1153R,,"Manfre & #222",,  36.935547,-121.798340,,
1154R,,"Manfre & #309 (Buena Vista)",,  36.939350,-121.797974,,
1177R,,"Rodriguez & W 5th",,  36.911922,-121.762352,,
1179R,,"Rodriguez & Ford",,  36.913074,-121.764084,,
1181R,,"Airport & Ross",,  36.933208,-121.785034,,
1182R,,"Shady Oaks & Anna",,  36.925869,-121.785385,,
1183R,,"Shady Oaks & Jeanette Wy",,  36.927441,-121.785362,,
1185R,,"Sunny Hills & Shady Oaks",,  36.929909,-121.785370,,
1191R,,"Tuttle & Cedar",,  36.921505,-121.741806,,
1193R,,"Tuttle & E Lake",,  36.922249,-121.746529,,
1209R,,"Aptos Beach & Marina",,  36.969791,-121.904785,,
1215R,,"Bay Ave. & Pilgrim(Pacific Cove MHP)",,  36.976776,-121.950806,,
1216R,,"Bay Ave. & Capitola Av",,  36.979069,-121.953644,,
1217R,,"Bay Ave. & Hill",,  36.980904,-121.955490,,
1219R,,"Bay & Garfield Park Village",,  36.962437,-122.034164,,
1220R,,"Bay & Garfield Park Village",,  36.962482,-122.033958,,
1222R,,"Bay & Redwood",,  36.963928,-122.036446,,
1223R,,"Bay & Seaside",,  36.965504,-122.038521,,
1224R,,"Bay & Seaside",,  36.965202,-122.038338,,
1225R,,"Bay & Mission",,  36.966209,-122.039833,,
1226R,,"Bay & Mission",,  36.966919,-122.040604,,
1227R,,"Bay & King",,  36.968300,-122.043312,,
1228R,,"Bay & Escalona",,  36.969410,-122.045906,,
1230R,,"Bay & Iowa",,  36.974297,-122.050400,,
1231R,,"Bay & Nobel",,  36.973709,-122.050110,,
1232R,,"Bay & Meder",,  36.975456,-122.052437,,
1236R,,"Big Basin Wy & Highway  9",,  37.125347,-122.122658,,
1237R,,"Big Basin Wy & Boulder Brook",,  37.130600,-122.134613,,
1238R,,"Big Basin Wy & Harry's Saw Shop",,  37.124828,-122.126190,,
1239R,,"Big Basin Wy & Ridge (Forest Pool)",,  37.135456,-122.140900,,
1240R,,"Big Basin Wy & Brook (Brackenbrae)",,  37.138317,-122.143929,,
1241R,,"Big Basin Wy & Jones St.",,  37.139378,-122.148872,,
1242R,,"Big Basin Wy & Acorn (Forest Spr.)",,  37.138859,-122.148087,,
1243R,,"Big Basin Wy & Fallen Leaf",,  37.144855,-122.156685,,
1244R,,"Big Basin Wy & Fallen Leaf",,  37.144703,-122.156837,,
1246R,,"Big Basin Wy & Jamison Creek",,  37.146034,-122.157898,,
1247R,,"Big Basin Wy & B. Crk Country Club",,  37.153385,-122.161385,,
1250R,,"Bonny Doon Rd & #6617/#6692",,  37.065868,-122.151726,,
1251R,,"Bonny Doon Rd & (Country Estates Ter)",,  37.052711,-122.160866,,
1254R,,"Broadway & Riverside (Park)",,  36.971329,-122.022049,,
1255R,,"Broadway & Clay",,  36.972656,-122.019501,,
1256R,,"Broadway & Clay",,  36.972805,-122.019524,,
1257R,,"Broadway & Ocean",,  36.973503,-122.017769,,
1258R,,"Broadway & Pine",,  36.974903,-122.012794,,
1259R,,"Broadway & Cayuga",,  36.975063,-122.010559,,
1260R,,"Broadway & Seabright",,  36.975346,-122.008850,,
1261R,,"Broadway & Frederick",,  36.976543,-122.004028,,
1262R,,"Brommer & #800 (Sorrento Oaks)",,  36.971954,-121.993874,,
1263R,,"Brommer & Captains Court",,  36.972103,-121.993774,,
1265R,,"Brommer & El Dorado",,  36.971947,-121.989578,,
1266R,,"Brommer & El Dorado",,  36.972061,-121.989075,,
1267R,,"Brommer & 17th",,  36.971119,-121.985313,,
1269R,,"Brommer & 17th",,  36.971306,-121.985390,,
1277R,,"Burlwood & El Camino",,  37.061104,-121.998703,,
1278R,,"Burlwood & Granite Creek (#108)",,  37.060097,-121.999901,,
1288R,,"Capitola Rd & 7th",,  36.979492,-121.992188,,
1289R,,"Capitola Rd & 7th",,  36.979050,-121.991577,,
1290R,,"Capitola Rd & Jose/El Dorado",,  36.977577,-121.988701,,
1291R,,"Capitola Rd & Jose",,  36.977852,-121.988724,,
1293R,,"Capitola Rd & 17th",,  36.975636,-121.982391,,
1294R,,"Capitola Rd & 17th Ave. (Live Oak Senior Ctr)",,  36.975834,-121.981972,,
1297R,,"Capitola Rd & Wood Rose",,  36.975285,-121.978172,,
1298R,,"Capitola Rd & Maciel",,  36.975441,-121.976852,,
1299R,,"Capitola Rd & 30th",,  36.973675,-121.974098,,
1300R,,"Capitola Rd & 30th",,  36.973789,-121.972603,,
1301R,,"Capitola Rd & Thompson/Sommerfeld",,  36.973602,-121.970589,,
1302R,,"Capitola Rd & 41st",,  36.973602,-121.966553,,
1303R,,"Capitola Rd & 41st",,  36.973621,-121.964485,,
1304R,,"Capitola Rd & 41st",,  36.973843,-121.963669,,
1305R,,"Capitola Rd & 44th",,  36.973618,-121.960815,,
1306R,,"Capitola Rd & 43rd",,  36.973843,-121.961472,,
1307R,,"Capitola Rd & 47th",,  36.973656,-121.958023,,
1309R,,"Cement Plant Rd & Cement Plnt Entrance",,  37.015259,-122.200676,,
1310R,,"Cement Plant Rd & 3rd",,  37.019077,-122.205238,,
1312R,,"Center Ave & East",,  36.974327,-121.910355,,
1314R,,"Center Ave & Santa Clara",,  36.974442,-121.908646,,
1315R,,"Center Ave & El Camino Del Mar",,  36.974503,-121.907295,,
1325R,,"Clubhouse & St Andrews",,  36.964104,-121.879417,,
1328R,,"Clubhouse & Lock",,  36.967808,-121.883453,,
1331R,,"Clubhouse & Los Altos",,  36.970222,-121.885704,,
1332R,,"Clubhouse & Murray",,  36.972874,-121.887932,,
1341R,,"Coolidge & Main Entrance",,  36.977638,-122.053680,,
1342R,,"Coolidge & Hagar",,  36.981369,-122.051926,,
1344R,,"Coral & Granite Rock",,  36.984577,-122.032249,,
1345R,,"Coral & River",,  36.985153,-122.030830,,
1347R,,"Emeline & Emeline Complex",,  36.991112,-122.016518,,
1349R,,"Delaware & De Anza Mhp",,  36.954601,-122.062317,,
1350R,,"Delaware & Natural Bridges",,  36.954792,-122.057671,,
1351R,,"Delaware & Swift",,  36.955643,-122.048012,,
1352R,,"Delaware & Almar",,  36.956249,-122.043053,,
1353R,,"Delaware & Surfside",,  36.956711,-122.040794,,
1355R,,"Delaware & Woodrow",,  36.956913,-122.037956,,
1356R,,"Delaware & Woodrow",,  36.957111,-122.037643,,
1359R,,"East Cliff & 5th (Crows Nest)",,  36.962841,-122.000175,,
1360R,,"East Cliff & 13th",,  36.964195,-121.992393,,
1363R,,"East Cliff & East Cliff Village",,  36.963562,-121.990685,,
1364R,,"East Cliff & 15th",,  36.963505,-121.991188,,
1370R,,"E Zayante & Quail Hollow",,  37.074585,-122.054924,,
1371R,,"E Zayante & Sylvan",,  37.081413,-122.050331,,
1372R,,"Eaton & 5th",,  36.967808,-121.999176,,
1379R,,"Emeline & Grant",,  36.985378,-122.018837,,
