service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20151S-vs20151S-Weekday-16,1,1,1,1,1,0,0,20141215,20141217
20151S-vs20151S-Weekday-16-1111000,1,1,1,1,0,0,0,20141215,20141217
20152D-vs20152D-Weekday-02,1,1,1,1,1,0,0,20141218,20141218
20152D-vs20152D-Weekday-02-1111000,1,1,1,1,0,0,0,20141218,20141218
20152D-vs20152D-Weekday-04,1,1,1,1,1,0,0,20141219,20141219
20152D-vs20152D-Weekday-04-1111000,1,1,1,1,0,0,0,20141219,20141219
20152D-vs20152D-Saturday-06,0,0,0,0,0,1,0,20141220,20150307
20152D-vs20152D-Sunday-00,0,0,0,0,0,0,1,20141221,20150308
20152D-vs20152D-Weekday-06,1,1,1,1,1,0,0,20141222,20150216
20152D-vs20152D-Weekday-06-1111000,1,1,1,1,0,0,0,20141222,20150216
20152D-vs20152D-Weekday-07,1,1,1,1,1,0,0,20141224,20141224
20152D-vs20152D-Weekday-07-1111000,1,1,1,1,0,0,0,20141224,20141224
20152D-vs20152D-Saturday-10,0,0,0,0,0,1,0,20141225,20141225
20152D-vs20152D-Saturday-11,0,0,0,0,0,1,0,20150101,20150101
20152D-vs20152D-Weekday-05,1,1,1,1,1,0,0,20150105,20150209
20152D-vs20152D-Weekday-05-1010100,1,0,1,0,1,0,0,20150105,20150209
20152D-vs20152D-Weekday-05-0101000,0,1,0,1,0,0,0,20150105,20150209
20152D-vs20152D-Weekday-05-1111000,1,1,1,1,0,0,0,20150105,20150209
20152D-vs20152D-Weekday-03,1,1,1,1,1,0,0,20150106,20150311
20152D-vs20152D-Weekday-03-1010100,1,0,1,0,1,0,0,20150106,20150311
20152D-vs20152D-Weekday-03-0101000,0,1,0,1,0,0,0,20150106,20150311
20152D-vs20152D-Weekday-03-1111000,1,1,1,1,0,0,0,20150106,20150311
20152D-vs20152D-Saturday-07,0,0,0,0,0,1,0,20150119,20150119
