service_id,date,exception_type
20152D-vs20152D-Weekday-06,20141224,2
20152D-vs20152D-Weekday-06-1111000,20141224,2
20152D-vs20152D-Weekday-06,20141225,2
20152D-vs20152D-Weekday-06-1111000,20141225,2
20152D-vs20152D-Weekday-06,20150101,2
20152D-vs20152D-Weekday-06-1111000,20150101,2
20152D-vs20152D-Weekday-06,20150105,2
20152D-vs20152D-Weekday-06-1111000,20150105,2
20152D-vs20152D-Weekday-06,20150106,2
20152D-vs20152D-Weekday-06-1111000,20150106,2
20152D-vs20152D-Weekday-06,20150107,2
20152D-vs20152D-Weekday-06-1111000,20150107,2
20152D-vs20152D-Weekday-06,20150108,2
20152D-vs20152D-Weekday-06-1111000,20150108,2
20152D-vs20152D-Weekday-06,20150109,2
20152D-vs20152D-Weekday-06-1111000,20150109,2
20152D-vs20152D-Weekday-06,20150112,2
20152D-vs20152D-Weekday-06-1111000,20150112,2
20152D-vs20152D-Weekday-06,20150113,2
20152D-vs20152D-Weekday-06-1111000,20150113,2
20152D-vs20152D-Weekday-06,20150114,2
20152D-vs20152D-Weekday-06-1111000,20150114,2
20152D-vs20152D-Weekday-06,20150115,2
20152D-vs20152D-Weekday-06-1111000,20150115,2
20152D-vs20152D-Weekday-06,20150116,2
20152D-vs20152D-Weekday-06-1111000,20150116,2
20152D-vs20152D-Weekday-06,20150119,2
20152D-vs20152D-Weekday-06-1111000,20150119,2
20152D-vs20152D-Weekday-06,20150120,2
20152D-vs20152D-Weekday-06-1111000,20150120,2
20152D-vs20152D-Weekday-06,20150121,2
20152D-vs20152D-Weekday-06-1111000,20150121,2
20152D-vs20152D-Weekday-06,20150122,2
20152D-vs20152D-Weekday-06-1111000,20150122,2
20152D-vs20152D-Weekday-06,20150123,2
20152D-vs20152D-Weekday-06-1111000,20150123,2
20152D-vs20152D-Weekday-06,20150126,2
20152D-vs20152D-Weekday-06-1111000,20150126,2
20152D-vs20152D-Weekday-06,20150127,2
20152D-vs20152D-Weekday-06-1111000,20150127,2
20152D-vs20152D-Weekday-06,20150128,2
20152D-vs20152D-Weekday-06-1111000,20150128,2
20152D-vs20152D-Weekday-06,20150129,2
20152D-vs20152D-Weekday-06-1111000,20150129,2
20152D-vs20152D-Weekday-06,20150130,2
20152D-vs20152D-Weekday-06-1111000,20150130,2
20152D-vs20152D-Weekday-06,20150202,2
20152D-vs20152D-Weekday-06-1111000,20150202,2
20152D-vs20152D-Weekday-06,20150203,2
20152D-vs20152D-Weekday-06-1111000,20150203,2
20152D-vs20152D-Weekday-06,20150204,2
20152D-vs20152D-Weekday-06-1111000,20150204,2
20152D-vs20152D-Weekday-06,20150205,2
20152D-vs20152D-Weekday-06-1111000,20150205,2
20152D-vs20152D-Weekday-06,20150206,2
20152D-vs20152D-Weekday-06-1111000,20150206,2
20152D-vs20152D-Weekday-06,20150209,2
20152D-vs20152D-Weekday-06-1111000,20150209,2
20152D-vs20152D-Weekday-06,20150210,2
20152D-vs20152D-Weekday-06-1111000,20150210,2
20152D-vs20152D-Weekday-06,20150211,2
20152D-vs20152D-Weekday-06-1111000,20150211,2
20152D-vs20152D-Weekday-06,20150212,2
20152D-vs20152D-Weekday-06-1111000,20150212,2
20152D-vs20152D-Weekday-06,20150213,2
20152D-vs20152D-Weekday-06-1111000,20150213,2
20152D-vs20152D-Saturday-10,20141225,1
20152D-vs20152D-Saturday-11,20150101,1
20152D-vs20152D-Weekday-05,20150106,2
20152D-vs20152D-Weekday-05-1010100,20150106,2
20152D-vs20152D-Weekday-05-0101000,20150106,2
