fare_id,route_id,origin_id,destination_id,contains_id
regular_2D,03-100,,,
regular_2D,03-102,,,
regular_2D,04-100,,,
regular_2D,04-102,,,
regular_2D,04W-102,,,
regular_2D,06-100,,,
regular_2D,06-102,,,
regular_2D,08-100,,,
regular_2D,08-102,,,
regular_2D,10-100,,,
regular_2D,10-102,,,
regular_2D,12-100,,,
regular_2D,12-102,,,
regular_2D,15-100,,,
regular_2D,15-102,,,
regular_2D,16-100,,,
regular_2D,16-102,,,
hwy_17_5D,17-100,,,
hwy_17_5D,17-102,,,
regular_2D,19-100,,,
regular_2D,19-102,,,
regular_2D,20-100,,,
regular_2D,20-102,,,
regular_2D,20D-100,,,
regular_2D,20D-102,,,
regular_2D,30-100,,,
regular_2D,30-102,,,
regular_2D,33-100,,,
regular_2D,33-102,,,
regular_2D,34-100,,,
regular_2D,34-102,,,
regular_2D,35-100,,,
regular_2D,35-102,,,
regular_2D,35A-100,,,
regular_2D,35A-102,,,
regular_2D,40-100,,,
regular_2D,40-102,,,
regular_2D,41-100,,,
regular_2D,41-102,,,
regular_2D,42-100,,,
regular_2D,42-102,,,
regular_2D,54-100,,,
regular_2D,54-102,,,
regular_2D,55-100,,,
regular_2D,55-102,,,
regular_2D,56-100,,,
regular_2D,56-102,,,
regular_2D,66-100,,,
regular_2D,66-102,,,
regular_2D,66N-100,,,
regular_2D,66N-102,,,
regular_2D,68-100,,,
regular_2D,68-102,,,
regular_2D,69A-100,,,
regular_2D,69A-102,,,
regular_2D,69W-100,,,
regular_2D,69W-102,,,
regular_2D,71-100,,,
regular_2D,71-102,,,
regular_2D,72-100,,,
regular_2D,72-102,,,
regular_2D,74-100,,,
regular_2D,74-102,,,
regular_2D,75-100,,,
regular_2D,75-102,,,
regular_2D,77-100,,,
regular_2D,77-102,,,
regular_2D,79-100,,,
regular_2D,79-102,,,
regular_2D,91X-100,,,
regular_2D,91X-102,,,
